latin	name	Type	blood	blood_reference	sputum	sputum_reference	CSF	CSF_reference	urine	urine_reference
Streptococcus_pneumoniae	肺炎链球菌	bacteria	人体口咽部常携带该菌，是社区获得性肺炎的主要病因，主要引起大叶性肺炎和支气管炎，可继发中耳炎、鼻窦炎、脑膜炎、心内膜炎和菌血症等。	van de Beek D, de Gans J, Tunkel AR, et al. Community-Acquired Bacterial Meningitis in Adults. New England Journal of Medicine. 2006 Jan 5; 354 (1): 44–53.	none	none	none	none	none	none
Streptococcus_oralis	口腔链球菌	bacteria	机会致病菌，常见感染是细菌性心内膜炎、呼吸窘迫综合征，有报道可引起新生儿脑膜炎。	Poi BN, Pasupulety Venkata NK, Auckland CR, et al. Neonatal meningitis and maternal sepsis caused by Streptococcus oralis. J Neonatal Perinatal Med.2018; 11(3):331-334.	none	none	none	none	none	none
Streptococcus_mitis	轻型链球菌	bacteria	常见于咽喉、鼻咽和口腔，可引起感染性心内膜炎。	Lamas CC, Eykyn SJ. Blood culture negative endocarditis: Analysis of 63 cases presenting over 25 years. Heart. 2003 Mar; 89 (3): 258–262.	none	none	none	none	none	none
Streptococcus_gallolyticus	解没食子酸链球菌	bacteria	又称牛链球菌，常定殖在人体的肠道、胆道和泌尿生殖道，可引起尿路感染、化脓性腹部感染、心内膜炎、败血症和新生儿脑膜炎等。	Corredoira-Sánchez J, García-Garrote F, Rabuñal R, et al. Association between bacteremia due to Streptococcus gallolyticus subsp. gallolyticus (Streptococcus bovis I) and colorectal neoplasia: a case-control study. Clin Infect Dis. 2012 Aug; 55(4): 491-6.	none	none	none	none	none	none
Streptococcus_parasanguinis	副血链球菌	bacteria	牙齿表面定殖菌，有报道可引起心内膜炎和肺部病变。	Miyamoto H, Gomi H, Ishioka H, et al. A Patient with a Wedge-shaped Pulmonary Lesion Associated with Streptococcus parasanguinis. Kansenshogaku Zasshi.  2016 May; 90(3): 316-20.	none	none	none	none	none	none
Streptococcus_gordonii	戈登链球菌	bacteria	口腔常见细菌，一般无致病性或致病性较弱，有报道可引起脊柱炎和心内膜炎。	Dadon Z, Cohen A, Szterenlicht Y M, et al. Spondylodiskitis and endocarditis due to Streptococcus gordonii. Ann Clin Microbiol Antimicrob. 2017 Oct 4; 16(1): 68.	none	none	none	none	none	none
Streptococcus_pyogenes	化脓性链球菌	bacteria	又称A群链球菌，可引起人体多种疾病，如咽炎、呼吸道感染、皮肤感染（脓疱、丹毒）、软组织感染、心内膜炎、脑膜炎、产褥热、关节炎、猩红热、中毒性休克综合征、风湿热和急性肾小球等。	Ochi F, Tauchi H, Jogamoto T, et al. Sepsis and Pleural Empyema Caused by Streptococcus pyogenes after Influenza A Virus Infection. Case Rep Pediatr. 2018 Sep 23; 2018: 4509847.	none	none	none	none	none	none
Streptococcus_agalactiae	无乳链球菌	bacteria	又称B群链球菌，是新生儿败血症、脑膜炎、肺炎的常见病原菌，其正常定殖在妇女的生殖道，带菌率可达30%左右，当分娩时胎儿经过带菌产道时受感染。该菌对成人的侵袭力较弱，当人体免疫功能低下时，可引起菌血症、骨髓炎、肾盂肾炎、子宫内膜炎、皮肤和软组织感染等。	左右，当分娩是胎儿经过带菌产道时受感染。该菌对成人的侵袭力较弱，当人体免疫功能低下时，可引起菌血症、骨髓炎、肾盂肾炎、子宫内膜炎、皮肤和软组织感染等。	Edmond KM, Kortsalioudaki C, Scott S, et al. Group B streptococcal disease in infants aged younger than 3 months: systematic review and meta-analysis. Lancet. 2012 Feb 11; 379(9815): 547-56.	none	none	none	none	none	none
Streptococcus_infantis	婴儿链球菌	bacteria	none	none	none	none	none	none	none	none
Streptococcus_australis	澳大利亚链球菌	bacteria	可从口腔中分离得到，有报道可引起囊性纤维化、脑膜炎等。	none	none	none	none	none	none	none
Streptococcus_peroris	泛口腔链球菌	bacteria	none	none	none	none	none	none	none	none
Streptococcus_thermophilus	嗜热链球菌	bacteria	none	none	none	none	none	none	none	none
Peptostreptococcus_stomatis	胃消化链球菌	bacteria	none	none	none	none	none	none	none	none
Streptococcus_constellatus	星座链球菌	bacteria	none	none	none	none	none	none	none	none
Streptococcus_oligofermentans	寡发酵链球菌	bacteria	口腔正常菌群，机会致病菌，有报道可引起感染性心内膜炎和脓肿等。	none	none	none	none	none	none	none
